Аймаг,C,ProvinceName,zipCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Баян-Өлгий,Western,Bayan-Ulgii,83000,"23,887.86","25,622.67","24,296.91","29,252.05","38,948.47","42,652.93","50,082.03","60,358.19","84,661.37","69,913.88","108,299.50","143,159.40","179,619.50","232,112.10","289,666.30","311,013.70","307,060","326,833.60","370,892.50","409,838.63"
Говь-Алтай,Western,Govi-Altai,82000,"21,310.63","21,654.75","13,495.58","15,907.71","25,496.47","31,750.20","46,587.38","55,716.48","75,002.87","62,783.64","65,977.10","89,180.90","125,825.40","164,803.40","219,617.40","237,123.90","247,561.40","266,127.30","323,385.60","340,482.03"
Завхан,Western,Zavhan,81000,"23,434.37","24,152.98","25,636.55","27,431.74","32,297.79","44,212.82","56,903","74,364.70","111,939.83","82,102.82","100,157.50","137,158","192,270.20","252,637.40","303,141.30","310,601.10","297,609.90","311,609.30","356,518.10","420,558.20"
Увс,Western,Uvs,85000,"23,808.95","25,974.58","24,077.83","28,492.50","37,904.03","46,513.05","55,076.73","71,077.09","93,200.83","75,929.29","106,129.40","145,132.70","182,994.40","234,561.70","292,459.20","330,085","299,682.40","318,877.80","388,296.40","417,991.60"
Ховд,Western,Hovd,84000,"27,207.26","28,153.26","26,085.67","31,000.94","42,294.69","54,421.64","62,775.60","80,940.45","115,780.75","86,390.20","113,165.40","141,760","179,701.50","252,803.90","297,068.20","322,289.50","307,900.80","326,253.80","384,764","393,802.16"
Архангай,Northern,Arhangai,65000,"38,099.54","43,644.32","42,041.92","38,554.43","50,171.07","62,848.40","69,378.42","93,911.42","147,309.73","142,737.28","120,053","175,011.40","252,448.90","315,937.60","367,617.30","417,299.20","367,093.20","418,175.50","431,367.30","559,120.28"
Баянхонгор,Northern,Bayanhongor,64000,"24,988.52","27,891.03","15,691.91","18,888.42","29,434.59","47,919.93","50,188.12","63,154.04","103,733.84","89,333.81","105,421.50","145,400.50","193,811.70","261,220.30","328,787","366,143.60","347,958.20","399,784.50","417,659.10","497,003.57"
Булган,Northern,Bulgan,63000,"28,093.05","28,659.77","29,988.06","22,400.68","30,830.83","40,566.88","50,788.24","66,977.45","108,411.90","112,398.30","131,308.90","158,820.40","188,164.50","257,336.70","293,916.20","301,392.30","280,841.30","285,484.60","318,533.90","361,240.31"
Өвөрхангай,Northern,Ovorhangai,62000,"29,572.84","29,585.19","27,130.99","30,489.04","44,260.72","58,130.23","64,302.40","84,326.09","116,826.89","121,042.75","103,764.30","148,320","206,878.90","307,253.10","382,265.60","409,517.30","404,737.30","460,298.60","502,110.60","614,211.76"
Хөвсгөл,Northern,Hovsgol,67000,"38,919.26","37,785.96","37,845.29","41,824.01","57,323.22","71,922.89","81,166.45","110,796.15","170,639.58","154,817.91","192,128.80","231,143.60","289,711.70","369,539.40","441,446.10","506,340.80","490,976.90","512,199.80","617,305.80","718,559.76"
Орхон,Northern,Orhon,61000,"103,036.27","52,221.12","96,374.15","135,669.86","269,237.88","354,527.58","672,657.79","919,603.77","828,074.01","678,719.71","882,565.70","1,043,789.60","1,138,014.60","1,190,352.10","1,266,273.70","1,053,219.70","1,109,904.70","1,718,321.50","1,871,485.70","2,105,341.99"
Дорноговь,Central,Dornogovi,44000,"16,302.17","16,734.62","16,462.68","17,399.67","23,272.22","28,522.82","21,999.36","27,753.71","53,309.69","55,096.06","105,994.50","173,478.80","237,433.70","273,119","308,754.40","261,319.10","272,288.40","296,014.80","368,335.50","407,169.80"
Дундговь,Central,Dundgovi,48000,"12,970.14","16,048.77","18,814.38","22,060.43","28,370.63","38,133.56","39,492.72","42,681.60","58,863.38","53,152.24","69,485.80","88,765.10","121,497.10","179,401","213,115","237,565.80","226,072.50","258,177","328,291.50","383,383.01"
Өмнөговь,Central,Omnogovi,46000,"15,283.29","16,978.47","14,724.54","16,762.04","30,576.10","47,933.37","60,561.04","82,979.66","110,396.75","141,666.37","238,671.30","361,901.50","364,635.10","454,724.40","335,829.80","281,273.50","404,035.80","714,470.20","657,803.30","824,891.88"
Сэлэнгэ,Central,Selenge,43000,"36,112.05","47,695.50","49,041.61","43,549.88","44,007.97","58,409.28","101,423.48","132,415.42","208,347.57","189,243.47","395,159.80","361,866.40","444,274","492,578.30","586,241.70","574,519.50","555,423","598,216.10","689,576.90","802,814.77"
Төв,Central,Tov,41000,"32,018.22","49,370.97","33,938.66","36,371.65","45,419.60","59,841.92","74,284.52","91,198.08","139,293.02","151,027.40","177,208.40","214,438.80","278,292.20","374,514.90","474,494.10","542,576.30","510,608.80","510,446.50","594,297.40","678,738.69"
Дархан-Уул,Central,Darhan-Uul,45000,"25,650.31","36,798.28","38,251.28","39,980.87","48,755.53","54,928.74","59,692.65","82,697.43","135,380.70","127,433.55","163,790.60","192,344","258,060.30","305,144","362,087.70","367,262.70","387,260.40","409,544.40","428,447.50","567,584.42"
Говьсүмбэр,Central,Govisymber,42000,"4,075.54","5,452.54","5,142.22","5,101","9,154.96","10,431.64","11,499.60","8,332.81","19,489.12","18,468.22","29,403.10","34,364.90","40,459.40","57,641.50","72,860.80","83,724.40","83,354.90","83,959.40","89,146","112,903.18"
Дорнод,Eastern,Dornod,21000,"16,913.73","20,020.16","22,905.93","23,217.25","32,052.43","38,664.46","42,164.92","60,197.94","80,856.49","77,421.74","139,285.90","208,637.20","247,344","383,920.70","666,707.40","597,729.30","676,653.60","799,171.10","837,735.30","940,428.78"
Сүхбаатар,Eastern,Suhbaatar,22000,"20,464.41","19,948.23","22,565.64","27,674.53","32,730.02","43,428.78","132,773.01","149,868.38","116,289.03","111,730.33","143,193.10","178,582.10","234,212.20","278,709.60","337,845.80","326,876.40","330,185.50","413,690.20","501,192.20","538,042.80"
Хэнтий,Eastern,Hentii,23000,"24,276.83","24,845.45","26,046.66","27,533.67","34,263.99","43,643.22","50,340.44","61,464.01","82,748.14","75,325.67","111,488.30","157,992.20","206,483.30","283,208.10","316,907.20","347,793.90","332,577.80","343,357.80","424,254.50","503,070.06"
Улаанбаатар,Ulaanbaatar,Ulaanbaatar,11000,"637,636.84","792,639.54","940,051.47","1,149,509.88","1,374,353.72","1,762,001.34","2,173,420.73","2,535,832.34","3,595,013.89","3,913,902.46","6,153,936.50","8,642,515.90","11,126,286.90","12,252,723.40","14,069,952.10","14,964,718.70","15,703,079.40","18,105,283.40","21,509,825.10","24,683,663.70"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,