Аймаг,Region,ProvinceName,zipCode,1963,1969,1979,1989,1999,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Баян-Өлгий,Western,Bayan-Ulgii,83000,"9,744","10,551","12,479","17,339","19,270","21,753","22,025","21,328","21,463","21,186","21,399","21,253","20,696","20,995","20,689","21,171","22,411","23,082","23,497","23,626","24,306","24,327"
Говь-Алтай,Western,Govi-Altai,82000,"9,902","10,027","10,695","12,467","14,796","15,168","15,074","15,473","15,609","15,185","15,180","15,540","15,683","15,547","15,244","15,578","15,786","16,072","16,254","16,494","16,711","16,075"
Завхан,Western,Zavhan,81000,"15,677","15,657","16,129","18,382","21,605","20,238","19,893","19,929","20,268","20,490","20,359","20,643","20,079","19,961","19,919","20,156","20,495","20,695","21,078","21,474","21,785","20,713"
Увс,Western,Uvs,85000,"11,392","12,517","14,158","17,676","20,307","19,791","19,603","19,800","20,100","19,905","19,916","20,014","19,732","19,799","19,845","20,248","20,719","21,212","21,494","21,796","22,047","21,646"
Ховд,Western,Hovd,84000,"8,108","10,118","11,588","15,109","18,146","19,243","19,278","19,478","19,873","19,661","20,097","20,209","20,299","20,489","20,046","20,618","21,072","21,706","21,918","22,634","22,863","22,513"
Архангай,Northern,Arhangai,65000,"15,061","15,615","16,646","19,063","24,396","24,672","24,339","24,276","24,504","24,364","24,981","25,631","26,452","26,431","26,508","26,635","26,809","26,727","27,125","27,550","27,912","27,055"
Баянхонгор,Northern,Bayanhongor,64000,"9,889","12,406","13,583","16,104","20,630","21,527","21,357","20,935","21,030","21,661","22,412","23,008","23,157","23,370","23,747","23,796","24,428","24,821","25,423","26,270","26,643","25,570"
Булган,Northern,Bulgan,63000,"8,373","8,379","8,916","11,652","15,427","15,425","14,801","15,016","15,332","15,491","16,112","16,742","16,786","17,054","17,160","17,549","18,227","18,479","18,791","19,115","19,072","18,481"
Орхон,Northern,Ovorhangai,62000,0,0,"3,244","12,957","17,332","19,962","20,493","20,870","21,979","22,618","23,753","24,401","24,334","24,715","24,900","25,281","25,973","28,089","28,190","28,704","28,959","28,386"
Өвөрхангай,Northern,Hovsgol,67000,"14,465","15,853","17,900","21,431","26,896","28,865","28,429","28,793","29,207","29,770","30,782","32,349","32,646","32,888","32,072","32,421","33,015","33,438","33,540","34,173","34,652","33,062"
Хөвсгөл,Northern,Orhon,61000,"16,852","17,818","19,365","23,159","28,692","31,021","31,038","29,655","31,890","32,098","32,981","34,793","35,105","35,707","35,467","36,735","37,083","37,773","37,969","38,746","39,449","37,914"
Говьсүмбэр,Central,Dornogovi,44000,0,0,0,0,"2,954","3,170","3,111","3,245","3,440","3,718","3,831","4,144","4,289","4,519","4,573","4,680","4,749","5,017","5,189","5,364","5,388","4,979"
Дархан-Уул,Central,Dundgovi,48000,0,"3,712","8,094","18,183","19,489","20,110","19,643","22,238","22,605","23,078","24,989","27,203","28,340","27,993","26,220","27,906","28,048","29,971","30,097","30,133","30,503","28,797"
Дорноговь,Central,Omnogovi,46000,"9,443","7,309","8,747","12,359","12,111","13,242","13,308","13,968","14,786","15,229","16,108","17,170","17,796","18,397","17,901","18,554","19,185","20,018","20,299","20,844","21,286","20,115"
Дундговь,Central,Selenge,43000,"7,250","7,022","8,201","10,330","12,276","12,540","12,458","12,628","12,730","12,721","13,017","13,234","13,092","13,183","13,186","13,282","13,448","13,900","14,128","14,556","14,863","14,212"
Өмнөговь,Central,Tov,41000,"5,775","6,542","7,277","9,539","11,633","12,128","12,461","12,798","12,699","13,220","14,260","15,258","16,112","17,082","17,829","18,788","19,331","20,098","20,669","21,278","21,980","21,106"
Сэлэнгэ,Central,Darhan-Uul,45000,"7,897","9,223","8,848","10,221","22,814","22,639","22,405","22,193","23,467","24,050","26,209","28,159","28,416","29,041","29,416","29,665","30,040","29,316","29,521","29,912","30,123","29,004"
Төв,Central,Govisymber,42000,"13,522","14,540","17,055","21,712","23,638","23,257","22,498","23,309","23,973","24,746","25,094","26,119","26,635","26,901","26,779","27,277","28,063","28,622","29,170","29,984","30,509","27,043"
Дорнод,Eastern,Dornod,21000,"7,291","9,513","12,142","17,463","17,215","17,079","17,734","18,087","18,610","19,205","20,399","21,323","21,565","21,921","21,890","22,105","22,405","22,916","23,324","24,058","24,552","23,378"
Сүхбаатар,Eastern,Suhbaatar,22000,"10,252","7,706","13,512","17,921","12,780","13,316","13,224","13,339","13,484","13,753","14,620","15,191","15,486","15,767","15,984","16,413","16,679","17,251","17,561","18,005","18,268","17,725"
Хэнтий,Eastern,Hentii,23000,"6,077","10,306","11,967","16,636","17,469","17,568","17,730","17,941","18,545","18,770","19,511","20,955","21,158","21,360","21,757","21,853","22,634","23,484","23,784","24,705","25,172","23,906"
Улаанбаатар,Ulaanbaatar,Ulaanbaatar,11000,"48,262","47,445","70,469","108,131","161,273","192,934","205,498","215,727","226,914","234,743","251,758","273,182","294,416","306,795","317,131","333,379","352,812","376,419","380,828","386,218","387,453","411,420"