Index,Улс,National,Region,Аймаг,ProvinceName,Сум,Soum,zCode,Latitude,Longitude,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9
1,Улсын дүн,National,,,,,,,,,,,,,,,,,
2,Баруун бүс,National,,,,,,,,,,,,,,,,,
3,Завхан,National,Western,Завхан,Zavhan,,,,,,,,,,,,,,
4,Улиастай,National,Western,Завхан,Zavhan,Улиастай,Uliastai,81090,47.73172015,96.85606955,81190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Алдархаан,National,Western,Завхан,Zavhan,Алдархаан,Aldarhaan,81190,47.63988925,96.53313165,81130,81060,81070,81120,81090,NaN,NaN,NaN,NaN
6,Асгат,National,Western,Завхан,Zavhan,Асгат,Asgat,81170,49.4066719,96.6084909,81160,81180,67320,NaN,NaN,NaN,NaN,NaN,NaN
7,Баянтэс,National,Western,Завхан,Zavhan,Баянтэс,Bayantes,81160,49.70180735,96.36022565,81250,81170,81180,85020,67320,NaN,NaN,NaN,NaN
8,Баянхайрхан,National,Western,Завхан,Zavhan,Баянхайрхан,Bayanhairhan,81180,49.3807191,96.3259792,81250,81160,81170,81230,81210,67320,85010,NaN,NaN
9,Дөрвөлжин,National,Western,Завхан,Zavhan,Дөрвөлжин,Dorvoljin,81280,47.64824795,95.0011612,81290,81270,81240,81130,81190,82150,82180,84030,84020
10,Завханмандал,National,Western,Завхан,Zavhan,Завханмандал,Zavhanmandal,81270,48.32438525,95.10855675,81290,81280,81240,81260,81220,NaN,NaN,NaN,NaN
11,Идэр,National,Western,Завхан,Zavhan,Идэр,Ider,81060,48.21905385,97.37515205,81050,81030,81070,81190,81130,NaN,NaN,NaN,NaN
12,Их-Уул,National,Western,Завхан,Zavhan,Их-Уул,Ih-Uul,81010,48.7197909,98.79326825,81030,67320,67300,67220,67240,67250,67270,NaN,NaN
13,Нөмрөг,National,Western,Завхан,Zavhan,Нөмрөг,Nomrog,81110,48.8768243,96.96344375,81180,81210,81130,81050,67320,NaN,NaN,NaN,NaN
14,Отгон,National,Western,Завхан,Zavhan,Отгон,Otgon,81070,47.21006425,97.60747425,81030,81060,81190,81120,81140,82010,64260,64230,65270
15,Сантмаргац,National,Western,Завхан,Zavhan,Сантмаргац,Santmargats,81260,48.5886301,95.4351211,81290,81270,81220,81230,85010,85030,NaN,NaN,NaN
16,Сонгино,National,Western,Завхан,Zavhan,Сонгино,Songino,81230,49.02281385,95.92982775,81180,81210,81220,81260,85010,NaN,NaN,NaN,NaN
17,Тосонцэнгэл,National,Western,Завхан,Zavhan,Тосонцэнгэл,Tosontsengel,81030,48.76222535,98.2719402,81050,81060,81070,81010,65270,67320,NaN,NaN,NaN
18,Түдэвтэй,National,Western,Завхан,Zavhan,Түдэвтэй,Tudevtei,81210,48.98444105,96.5437747,81180,81230,81110,81220,81240,81130,NaN,NaN,NaN
19,Тэлмэн,National,Western,Завхан,Zavhan,Тэлмэн,Telmen,81050,48.6448185,97.6111222,81110,81130,81060,81030,67320,NaN,NaN,NaN,NaN
20,Тэс,National,Western,Завхан,Zavhan,Тэс,Tes,81250,49.65709825,95.78988075,81160,81180,85020,85010,NaN,NaN,NaN,NaN,NaN
21,Ургамал,National,Western,Завхан,Zavhan,Ургамал,Urgamal,81290,48.5613933,94.13223275,81280,81260,81270,85050,85100,NaN,NaN,NaN,NaN
22,Цагаанхайрхан,National,Western,Завхан,Zavhan,Цагаанхайрхан,Tsagaanhairhan,81120,47.496763,96.7974472,81190,81070,81140,81150,82210,NaN,NaN,NaN,NaN
23,Цагаанчулуут,National,Western,Завхан,Zavhan,Цагаанчулуут,Tsagaanchuluut,81150,47.1124004,96.6726923,81120,81140,82110,82070,NaN,NaN,NaN,NaN,NaN
24,Цэцэн-Уул,National,Western,Завхан,Zavhan,Цэцэн-Уул,Tsetsen-Uul,81220,48.75115225,96.0000801,81230,81260,81270,81240,81210,NaN,NaN,NaN,NaN
25,Шилүүстэй,National,Western,Завхан,Zavhan,Шилүүстэй,Shiluustei,81140,46.80076425,97.19686025,81150,81120,81070,82010,NaN,NaN,NaN,NaN,NaN
26,Эрдэнэхайрхан,National,Western,Завхан,Zavhan,Эрдэнэхайрхан,Erdenehairhan,81240,48.12390545,95.71370595,81280,81270,81220,81210,81130,NaN,NaN,NaN,NaN
27,Яруу,National,Western,Завхан,Zavhan,Яруу,Yaruu,81130,48.11528215,96.76644085,81240,81210,81110,81050,81060,81190,NaN,NaN,NaN
28,Говь-Алтай,National,Western,Говь-Алтай,Govi-Altai,,,82000,,,,,,,,,,,
29,Есөнбулаг,National,Western,Говь-Алтай,Govi-Altai,Есөнбулаг,Esonbulag,82080,46.18499435,96.26916195,82070,82140,82100,82040,82010,NaN,NaN,NaN,NaN
30,Алтай,National,Western,Говь-Алтай,Govi-Altai,Алтай,Altai,82130,46.36463,96.25139235,82200,82170,82120,82050,NaN,NaN,NaN,NaN,NaN
31,Баян-Уул,National,Western,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,82150,46.9931036,95.19953735,82110,82140,82190,82180,84010,81280,81190,NaN,NaN
32,Бигэр,National,Western,Говь-Алтай,Govi-Altai,Бигэр,Biger,82040,45.7036609,97.18003755,82080,82100,82050,82030,82020,82010,NaN,NaN,NaN
33,Бугат,National,Western,Говь-Алтай,Govi-Altai,Бугат,Bugat,82200,45.5586999,94.3663144,82210,82170,82130,NaN,NaN,NaN,NaN,NaN,NaN
34,Дарви,National,Western,Говь-Алтай,Govi-Altai,Дарви,Darvi,82190,46.48317675,94.1480202,82150,82140,82170,82210,84010,NaN,NaN,NaN,NaN
35,Дэлгэр,National,Western,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,82010,46.35347385,97.3696375,82070,82080,82040,82020,81140,81070,64260,64220,NaN
36,Жаргалан,National,Western,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,82110,46.98247645,95.9259653,82150,82140,82070,81190,81120,81150,NaN,NaN,NaN
37,Тайшир,National,Western,Говь-Алтай,Govi-Altai,Тайшир,Taishir,82070,46.70967665,96.52553565,82140,82080,82010,82110,81150,81140,NaN,NaN,NaN
38,Тонхил,National,Western,Говь-Алтай,Govi-Altai,Тонхил,Tonhil,82210,46.30872835,93.9058113,82190,82170,82200,84080,84050,NaN,NaN,NaN,NaN
39,Төгрөг,National,Western,Говь-Алтай,Govi-Altai,Төгрөг,Togrog,82170,45.82796175,94.81510165,82140,82190,82210,82200,82130,82120,82100,NaN,NaN
40,Халиун,National,Western,Говь-Алтай,Govi-Altai,Халиун,Haliun,82100,45.9271995,96.1620641,82080,82140,82170,82120,82050,82040,NaN,NaN,NaN
41,Хөхморьт,National,Western,Говь-Алтай,Govi-Altai,Хөхморьт,Hohmorit,82180,47.41102425,94.3629697,82150,81280,84030,84010,NaN,NaN,NaN,NaN,NaN
42,Цогт,National,Western,Говь-Алтай,Govi-Altai,Цогт,Tsogt,82050,45.3525653,96.6474152,82130,82120,82100,82040,82030,NaN,NaN,NaN,NaN
43,Цээл,National,Western,Говь-Алтай,Govi-Altai,Цээл,Tseel,82120,45.5553471,95.84996225,82100,82170,82130,82050,NaN,NaN,NaN,NaN,NaN
44,Чандмань,National,Western,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,82020,45.3383284,97.97422885,82030,82040,82010,64210,NaN,NaN,NaN,NaN,NaN
45,Шарга,National,Western,Говь-Алтай,Govi-Altai,Шарга,Sharga,82140,46.26937585,95.27223575,82110,82150,82190,82170,82100,82080,82070,NaN,NaN
46,Эрдэнэ,National,Western,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,82030,45.1608129,97.70512825,82020,82040,82050,64250,NaN,NaN,NaN,NaN,NaN
47,Баян-Өлгий,National,Western,Баян-Өлгий,Bayan-Ulgii,,,83000,,,,,,,,,,,
48,Өлгий,National,Western,Баян-Өлгий,Bayan-Ulgii,Өлгий,Ulgii,83030,48.938844,91.16485115,83040,85230,85210,84180,NaN,NaN,NaN,NaN,NaN
49,Алтай,National,Western,Баян-Өлгий,Bayan-Ulgii,Алтай,Altai,83050,48.9482515,90.01504185,83120,83040,83080,83140,83160,83170,83100,NaN,NaN
50,Алтанцөгц,National,Western,Баян-Өлгий,Bayan-Ulgii,Алтанцөгц,Altantsogts,83010,46.925091,91.08181005,83060,84200,84190,84130,84210,NaN,NaN,NaN,NaN
51,Баяннуур,National,Western,Баян-Өлгий,Bayan-Ulgii,Баяннуур,Bayannuur,83140,48.57683375,89.5481122,83160,83050,83080,83150,NaN,NaN,NaN,NaN,NaN
52,Бугат,National,Western,Баян-Өлгий,Bayan-Ulgii,Бугат,Bugat,83060,47.86811305,90.69866185,83150,83080,83010,84170,84200,NaN,NaN,NaN,NaN
53,Булган,National,Western,Баян-Өлгий,Bayan-Ulgii,Булган,Bulgan sum,83100,49.616688,90.23747205,83050,83040,85220,85230,NaN,NaN,NaN,NaN,NaN
54,Буянт,National,Western,Баян-Өлгий,Bayan-Ulgii,Буянт,Buyant,83160,48.9057732,89.6526003,83170,83050,83120,83140,83150,NaN,NaN,NaN,NaN
55,Дэлүүн,National,Western,Баян-Өлгий,Bayan-Ulgii,Дэлүүн,Deluun,83080,48.4023371,90.29040815,83150,83140,83050,83040,83060,84180,NaN,NaN,NaN
56,Ногооннуур,National,Western,Баян-Өлгий,Bayan-Ulgii,Ногооннуур,Nogoonnuur,83170,49.0416089,89.43864585,83190,83160,83050,,NaN,NaN,NaN,NaN,NaN
57,Сагсай,National,Western,Баян-Өлгий,Bayan-Ulgii,Сагсай,Sarsai,83190,48.93766755,89.1360712,83170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,Толбо,National,Western,Баян-Өлгий,Bayan-Ulgii,Толбо,Tolbo,83120,48.97014775,89.95948795,83050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,Улаанхус,National,Western,Баян-Өлгий,Bayan-Ulgii,Улаанхус,Ulaanhus,83150,48.29946635,89.51248155,83160,83140,83080,83060,NaN,NaN,NaN,NaN,NaN
60,Цэнгэл,National,Western,Баян-Өлгий,Bayan-Ulgii,Цэнгэл,Tsengel,83040,49.06340605,90.45709135,83050,83100,83030,83080,84180,NaN,NaN,NaN,NaN
61,Ховд,National,Western,Ховд,Hovd,,,84000,,,,,,,,,,,
62,Жаргалант,National,Western,Ховд,Hovd,Жаргалант,Jargalant,84140,47.98144035,91.65378565,84090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,Алтай,National,Western,Ховд,Hovd,Алтай,Altai,84080,45.8071145,92.28978035,84130,84070,84050,82210,NaN,NaN,NaN,NaN,NaN
64,Булган,National,Western,Ховд,Hovd,Булган,Bulgan sum,84210,45.8658944,91.2184524,84130,83010,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,Буянт,National,Western,Ховд,Hovd,Буянт,Buyant,84010,46.9358173,93.6203385,84030,84060,84070,84050,82190,82150,82180,NaN,NaN
66,Дарви,National,Western,Ховд,Hovd,Дарви,Darvi,84020,48.3243946,92.8729195,84100,84090,84030,85150,85100,81280,NaN,NaN,NaN
67,Дөргөн,National,Western,Ховд,Hovd,Дөргөн,Dorgon,84200,47.51872215,91.6305471,84170,84090,84110,84190,83010,83060,NaN,NaN,NaN
68,Дуут,National,Western,Ховд,Hovd,Дуут,Duut,84060,47.1084864,92.8450728,84110,84030,84010,84070,NaN,NaN,NaN,NaN,NaN
69,Зэрэг,National,Western,Ховд,Hovd,Зэрэг,Zereg,84110,47.42123395,92.22348695,84030,84090,84200,84190,84070,84060,NaN,NaN,NaN
70,Манхан,National,Western,Ховд,Hovd,Манхан,Manhan,84190,46.91666635,92.116667,84200,84110,84070,84130,83010,NaN,NaN,NaN,NaN
71,Мөнххайрхан,National,Western,Ховд,Hovd,Мөнххайрхан,Monhhairhan,84070,46.6930771,92.7954411,84060,84110,84190,84130,84080,84050,84010,NaN,NaN
72,Мөст,National,Western,Ховд,Hovd,Мөст,Most,84100,48.23859365,91.92436695,84180,84170,84020,84090,85210,85150,NaN,NaN,NaN
73,Мянгад,National,Western,Ховд,Hovd,Мянгад,Myangad,84130,46.06376775,92.03007815,84210,84080,84070,84190,83010,NaN,NaN,NaN,NaN
74,Үенч,National,Western,Ховд,Hovd,Үенч,Uench,84170,47.9787318,91.6405678,84180,84100,84090,84200,83060,NaN,NaN,NaN,NaN
75,Ховд,National,Western,Ховд,Hovd,Ховд,Hovd sum,84050,46.5901897,93.26714515,84010,84060,84070,84080,82210,NaN,NaN,NaN,NaN
76,Цэцэг,National,Western,Ховд,Hovd,Цэцэг,Tsetseg,84030,47.69052015,92.95083495,84020,84090,84110,84060,84010,81280,82180,NaN,NaN
77,Чандмань,National,Western,Ховд,Hovd,Чандмань,Chandmani,84180,48.5017057,91.44916525,84100,84170,83080,83040,83030,NaN,NaN,NaN,NaN
78,Эрдэнэбүрэн,National,Western,Ховд,Hovd,Эрдэнэбүрэн,Erdeneburen,84090,48.1717235,91.76676035,84140,84170,84100,84020,84030,84110,84200,NaN,NaN
79,Увс,National,Western,Увс,Uvs,,,85000,,,,,,,,,,,
80,Улаангом,National,Western,Увс,Uvs,Улаангом,Ulaangom,85160,49.9902834,92.05846825,85130,85230,85220,85200,85190,85120,85060,85090,85110
81,Баруунтуруун,National,Western,Увс,Uvs,Баруунтуруун,Baruunturuun,85020,49.6412964,94.39272885,85040,85080,85050,85030,85010,81250,81160,NaN,NaN
82,Бөхмөрөн,National,Western,Увс,Uvs,Бөхмөрөн,Bohmoron,85220,49.8462756,90.74162,85190,85200,85130,85230,83100,NaN,NaN,NaN,NaN
83,Давст,National,Western,Увс,Uvs,Давст,Davst,85120,50.61068205,92.40145685,85190,85160,85060,85090,85110,85130,NaN,NaN,NaN
84,Завхан,National,Western,Увс,Uvs,Завхан,Zavhan sum,85100,48.81884535,93.10097705,85150,85110,85090,85080,85050,81290,81280,84020,NaN
85,Зүүнговь,National,Western,Увс,Uvs,Зүүнговь,Zuungovi,85040,49.9052761,93.79277225,85060,85090,85080,85020,NaN,NaN,NaN,NaN,NaN
86,Зүүнхангай,National,Western,Увс,Uvs,Зүүнхангай,Zuunhangai,85010,49.30735685,95.4528666,85030,85020,81250,81180,81230,81260,NaN,NaN,NaN
87,Малчин,National,Western,Увс,Uvs,Малчин,Malchin,85090,49.725311,93.2684326,85060,85040,85080,85050,85100,85110,85130,85160,85120
88,Наранбулаг,National,Western,Увс,Uvs,Наранбулаг,Naranbulag,85110,49.4628128,92.47830485,85130,85160,85120,85060,85090,85080,85050,85100,85150
89,Өлгий,National,Western,Увс,Uvs,Өлгий,Ulgii,85150,49.031874,92.04002385,85210,85110,85100,84020,84100,NaN,NaN,NaN,NaN
90,Өмнөговь,National,Western,Увс,Uvs,Өмнөговь,Omnogovi sum,85210,49.1044153,91.72086235,85230,85130,85110,85150,84100,83030,NaN,NaN,NaN
91,Өндөрхангай,National,Western,Увс,Uvs,Өндөрхангай,Ondorhangai,85030,49.2700715,94.8585748,85050,85020,85010,81260,81290,NaN,NaN,NaN,NaN
92,Сагил,National,Western,Увс,Uvs,Сагил,Sagil,85190,50.3387223,91.6065359,85120,85160,85200,85220,NaN,NaN,NaN,NaN,NaN
93,Тариалан,National,Western,Увс,Uvs,Тариалан,Tarialan,85130,49.77967015,91.90548415,85160,85120,85060,85090,85110,85210,85230,NaN,NaN
94,Түргэн,National,Western,Увс,Uvs,Түргэн,Turgen,85200,50.0987319,91.67507165,85190,85220,85160,NaN,NaN,NaN,NaN,NaN,NaN
95,Тэс,National,Western,Увс,Uvs,Тэс,Tes,85060,50.4775807,93.59735735,85120,85160,85130,85110,85090,85040,NaN,NaN,NaN
96,Ховд,National,Western,Увс,Uvs,Ховд,Hovd sum,85230,49.2812161,90.91044895,85220,85160,85130,85210,83030,83100,NaN,NaN,NaN
97,Хяргас,National,Western,Увс,Uvs,Хяргас,Hyargas,85080,49.6697657,93.78139975,85100,85090,85040,85020,85050,NaN,NaN,NaN,NaN
98,Цагаанхайрхан,National,Western,Увс,Uvs,Цагаанхайрхан,Tsagaanhairhan,85050,49.40628095,94.2479753,85100,85110,85090,85080,85020,85030,81290,NaN,NaN
99,Хангайн бүс,National,Northern,,,,,,,,,,,,,,,,
100,Орхон,National,Northern,Орхон,Orhon,,,61000,,,,,,,,,,,
101,Баян-Өндөр,National,Northern,Орхон,Orhon,Баян-Өндөр,Bayan-Ondor,61020,49.0411905,104.1282676,61010,63030,63040,43170,NaN,NaN,NaN,NaN,NaN
102,Жаргалант,National,Northern,Орхон,Orhon,Жаргалант,Jargalant,61010,49.04893755,104.4169542,61020,63030,63020,63090,63040,NaN,NaN,NaN,NaN
103,Өвөрхангай,National,Northern,Өвөрхангай,Ovorhangai,,,62000,,,,,,,,,,,
104,Арвайхээр,National,Northern,Өвөрхангай,Ovorhangai,Арвайхээр,Arvaiheer,62160,46.260349,102.7790738,62140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,Баруунбаян-Улаан,National,Northern,Өвөрхангай,Ovorhangai,Баруунбаян-Улаан,Baruunbayan-Ulaan,62270,45.1778164,101.4200735,62260,62240,62180,62190,64050,NaN,NaN,NaN,NaN
106,Бат-Өлзий,National,Northern,Өвөрхангай,Ovorhangai,Бат-Өлзий,Bat-Ulzii,62210,46.8186505,102.2412801,62110,62120,62220,65040,65080,64020,NaN,NaN,NaN
107,Баянгол,National,Northern,Өвөрхангай,Ovorhangai,Баянгол,Bayangol,62060,45.8085803,103.4490252,62040,62120,62140,62080,48180,NaN,NaN,NaN,NaN
108,Баян-Өндөр,National,Northern,Өвөрхангай,Ovorhangai,Баян-Өндөр,Bayan-Ondor,62010,46.4980815,104.1196633,62020,62030,62040,48150,41280,NaN,NaN,NaN,NaN
109,Богд,National,Northern,Өвөрхангай,Ovorhangai,Богд,Bogd,62190,44.6696138,102.172444,62270,62180,62080,64010,46130,46110,NaN,NaN,NaN
110,Бүрд,National,Northern,Өвөрхангай,Ovorhangai,Бүрд,Burd,62020,46.9809969,103.7868977,62090,62030,62010,41290,41280,63070,63120,NaN,NaN
111,Гучин-Ус,National,Northern,Өвөрхангай,Ovorhangai,Гучин-Ус,Guchin-Us,62180,45.4552519,102.4217605,62190,62270,62240,62140,62080,NaN,NaN,NaN,NaN
112,Есөн зүйл,National,Northern,Өвөрхангай,Ovorhangai,Есөн зүйл,Eson Zuil,62030,46.75885505,103.5166597,62110,62090,62020,62010,62040,62050,NaN,NaN,NaN
113,Зүүнбаян-Улаан,National,Northern,Өвөрхангай,Ovorhangai,Зүүнбаян-Улаан,Zuunbayan-Ulaan,62120,46.5251501,102.5947952,62220,62210,62110,62050,62040,62060,62140,NaN,NaN
114,Нарийнтээл,National,Northern,Өвөрхангай,Ovorhangai,Нарийнтээл,Nariinteel,62260,45.9641565,101.4556933,62220,62240,62270,64030,64050,NaN,NaN,NaN,NaN
115,Өлзийт,National,Northern,Өвөрхангай,Ovorhangai,Өлзийт,Ulziit,62050,46.61085895,103.5500479,62120,62110,62030,62040,NaN,NaN,NaN,NaN,NaN
116,Сант,National,Northern,Өвөрхангай,Ovorhangai,Сант,Sant,62040,46.0906438,103.840456,62010,62030,62050,62120,62060,48180,48150,NaN,NaN
117,Тарагт,National,Northern,Өвөрхангай,Ovorhangai,Тарагт,Taragt,62140,46.3036887,102.4439049,62240,62220,62120,62060,62080,62180,62160,NaN,NaN
118,Төгрөг,National,Northern,Өвөрхангай,Ovorhangai,Төгрөг,Togrog,62080,45.5383084,102.9975987,62060,62140,62180,62190,46090,48180,NaN,NaN,NaN
119,Уянга,National,Northern,Өвөрхангай,Ovorhangai,Уянга,Uyanga,62220,46.463372,102.2745609,62210,62120,62140,62240,62260,64020,64030,NaN,NaN
120,Хайрхандулаан,National,Northern,Өвөрхангай,Ovorhangai,Хайрхандулаан,Hairhandulaan,62240,45.9590551,102.0600272,62260,62220,62140,62180,62270,NaN,NaN,NaN,NaN
121,Хархорин,National,Northern,Өвөрхангай,Ovorhangai,Хархорин,Harhorin,62090,47.1979281,102.8273105,62110,62030,62020,65010,65040,NaN,NaN,NaN,NaN
122,Хужирт,National,Northern,Өвөрхангай,Ovorhangai,Хужирт,Hujirt,62110,46.9125402,102.7695466,62210,62090,62030,62050,62120,65040,NaN,NaN,NaN
123,Булган,National,Northern,Булган,Bulgan,,,63000,,,,,,,,,,,
124,Булган,National,Northern,Булган,Bulgan,Булган сум,Bulgan sum,63080,48.8205487,103.5203076,63040,63090,NaN,NaN,NaN,NaN,NaN,NaN,NaN
